Time (s),q1_values_deg,q2_values_deg,q3_values_mm,q1_dot_deg_per_s,q2_dot_deg_per_s,q3_dot_mm_per_s,q1_dotdot_deg_per_s2,q2_dotdot_deg_per_s2,q3_dotdot_mm_per_s2
47.61,1.2146573659825017,86.72127493550491,1.0,-0.09504893178611251,0.12595720847983216,0.0,0.17571670774318982,-0.2330070790890204,0.0
47.62,1.2137156680451007,86.72252284987808,1.0,-0.09322002593687984,0.12353211239712891,0.0,0.1898325836052761,-0.2517044988437078,0.0
47.63,1.2127929654637641,86.72374557775285,1.0,-0.09125228011400699,0.120923118502958,0.0,0.20346455128716912,-0.26975997830192,0.0
47.64,1.2118906224428205,86.72494131224813,1.0,-0.08915073491113645,0.11813691283109051,0.0,0.21657230905802738,-0.2871201943577262,0.0
47.65,1.2110099507655414,86.72610831600947,1.0,-0.08692083393284644,0.11518071461580348,0.0,0.2291155560002478,-0.30373182909215757,0.0
47.660000000000004,1.2101522057641636,86.72724492654045,1.0,-0.0845684237911315,0.11206227624924736,0.0,0.24105399141605144,-0.3195415681744862,0.0
47.67,1.2093185822897188,86.72834956153446,1.0,-0.08209975410452541,0.10878988325231376,0.0,0.2523473152266087,-0.33449610061353496,0.0
47.68,1.208510210682073,86.7294207242055,1.0,-0.07952147748659932,0.10537235423697666,0.0,0.26295522778607694,-0.3485421175142278,0.0
47.69,1.2077281527399868,86.7304570086192,1.0,-0.07684064954880387,0.1018190409020292,0.0,0.27283742939976374,-0.3616263111538842,0.0
47.7,1.206973397691097,86.73145710502354,1.0,-0.07406472889860405,0.09813982801389898,0.0,0.28195362053062833,-0.37369537427167643,0.0
47.71,1.2062468581620147,86.73241980517948,1.0,-0.07120157713819131,0.09434513341659567,0.0,0.2902635013557475,-0.38469599839885404,0.0
47.72,1.2055493661483332,86.73334400769187,1.0,-0.0682594588714891,0.0904459080459219,0.0,0.29772677175077256,-0.39457487339689123,0.0
47.730000000000004,1.204881668984585,86.7342287233404,1.0,-0.06524704170317586,0.08645363594865785,0.0,0.30430313151308397,-0.40327868660483546,0.0
47.74,1.2042444253142697,86.73507308041084,1.0,-0.06217339624122742,0.08238033431382519,0.0,0.30995227984942364,-0.41075412166691194,0.0
47.75,1.2036382010597604,86.73587633002667,1.0,-0.059047996106187384,0.07823855351531961,0.0,0.31463391510833105,-0.41694785743118246,0.0
47.76,1.203063465392146,86.73663785148115,1.0,-0.0558807179390608,0.07404137716520154,0.0,0.3183077349383501,-0.42180656713242115,0.0
47.77,1.2025205867009792,86.73735715756997,1.0,-0.05268184140742038,0.06980242217267119,0.0,0.32093343611427905,-0.4252769175749904,0.0
47.78,1.2020098285639975,86.7380338999246,1.0,-0.04946204921677522,0.06553583881370173,0.0,0.32247071441005026,-0.42730556859993385,0.0
47.79,1.2015313457166437,86.73866787434625,1.0,-0.04623242711921938,0.06125631080067251,0.0,0.3228792645620926,-0.4278391718059993,0.0
47.800000000000004,1.2010851800216131,86.73925902614062,1.0,-0.043004463925533365,0.056979055377581744,0.0,0.32211878003785,-0.42682436998120465,0.0
47.81,1.200671256438133,86.7398074554538,1.0,-0.03979005151846238,0.052719823401048416,0.0,0.32014895292253875,-0.4242077971383651,0.0
47.82,1.2002893789912439,86.74031342260864,1.0,-0.03660148486708259,0.04849489943481444,0.0,0.3169294740251738,-0.4199360773071703,0.0
47.83,1.1999392267407913,86.7407773534425,1.0,-0.0334514620379589,0.04432110185490501,0.0,0.31242003286746645,-0.4139558242854946,0.0
47.84,1.1996203497504847,86.74119984464573,1.0,-0.03035308420973326,0.04021578294910455,0.0,0.30658031736741087,-0.406213641674924,0.0
47.85,1.1993321650565967,86.74158166910148,1.0,-0.027319855690610684,0.03619682902140653,0.0,0.299370014057998,-0.396656122525485,0.0
47.86,1.1990739526366725,86.74192378122616,1.0,-0.0243656839285733,0.03228266049859485,0.0,0.29074880799284664,-0.38522984937117144,0.0
47.870000000000005,1.1988448513780252,86.74222732231145,1.0,-0.02150487953075375,0.0284922320339831,0.0,0.2806763828272496,-0.371881394798379,0.0
47.88,1.1986438550460574,86.74249362586684,1.0,-0.01875215627202831,0.02484503260262727,0.0,0.2691124209591722,-0.3565573213393236,0.0
47.89,1.1984698082525846,86.7427242229635,1.0,-0.016122631111570307,0.021361085607196628,0.0,0.25601660324392483,-0.33920418193389423,0.0
47.9,1.198321402423826,86.74292084757899,1.0,-0.013631824207149812,0.018060948963949386,0.0,0.24134860953539672,-0.3197685215283741,0.0
47.910000000000004,1.1981971717684416,86.74308544194278,1.0,-0.011295658920862373,0.014965715176629146,0.0,0.22506811866995768,-0.2981968773241306,0.0
47.92,1.1980954892454088,86.74322016188252,1.0,-0.009130461833750658,0.012097011417466774,0.0,0.20713480849865462,-0.27443578002106506,0.0
47.93,1.1980145625317666,86.74332738217113,1.0,-0.00715296275088928,0.009476999576207845,0.0,0.18750835621805795,-0.24843175587818678,0.0
47.94,1.197952429990391,86.74340970187404,1.0,-0.005380294709389499,0.007128376299903039,0.0,0.1661484387077694,-0.22013132809917124,0.0
47.95,1.1979069566375788,86.74346994969713,1.0,-0.003829993976733892,0.00507437301422442,0.0,0.1430147328018716,-0.1894810190705698,0.0
47.96,1.1978758301108563,86.74351118933433,1.0,-0.0025200000533520672,0.0033387559184916427,0.0,0.11806691523730262,-0.15642735228027504,0.0
47.97,1.1978565566365118,86.7435367248155,1.0,-0.0014686556719878396,0.0019458259686189194,0.0,0.09126466356090823,-0.12091685558601739,0.0
47.980000000000004,1.1978464569974165,86.7435501058537,1.0,-0.0006947067821339026,0.0009204188067712948,0.0,0.0625676563065225,-0.08289606419964457,0.0
47.99,1.1978426625008691,86.74355513319163,1.0,-0.00021730254585738962,0.00028790468462602803,0.0,0.03229040267227479,-0.04242622086536585,0.0
48.0,1.1978421109464994,86.74355586394739,1.0,-4.8898728688406834e-05,7.189438946397786e-05,0.0,0.00246503127410147,-0.00046536683839804027,0.0
48.01,1.1978416845262954,86.74355657107942,1.0,-0.00016800192037536021,0.0002785973478580672,0.0,-0.02440980350681965,0.040938456677963586,0.0
48.02,1.1978387509080919,86.74356143589435,1.0,-0.0005370947988247998,0.0008906635230232496,0.0,-0.04837257816026064,0.08021616938691523,0.0
48.03,1.1978309426303189,86.74357438434988,1.0,-0.001135453483580573,0.0018829207355963717,0.0,-0.07055891310725482,0.11700771324285597,0.0
48.04,1.1978160418384203,86.74359909430906,1.0,-0.0019482730609698962,0.003230817787880369,0.0,-0.09128033466254681,0.15136996172060435,0.0
48.050000000000004,1.1977919771690995,86.74363900070564,1.0,-0.0029610601768315092,0.004910319970008459,0.0,-0.11056799747166668,0.18335455973073067,0.0
48.06,1.1977568206348836,86.74369730070846,1.0,-0.00415963301040323,0.006897908982494982,0.0,-0.12845305443043298,0.21301314649946335,0.0
48.07,1.1977087845088914,86.74377695888529,1.0,-0.005530121265440169,0.009170582899997726,0.0,-0.14496665753038762,0.240397358446387,0.0
