Time[s],X_Position,Y_Position,Z_Position
92.99,7.961983037266798,11.186983027416197,1.0
93.0,7.961999999999996,11.186999999999994,1.0
93.01,7.961994710227799,11.187,1.0
93.02,7.9619583184896,11.187,1.0
93.03,7.9618614562553995,11.187,1.0
93.04,7.961676610867199,11.187,1.0
93.05,7.9613780868749995,11.187,1.0
93.06,7.9609419673728,11.187,1.0
93.07000000000001,7.9603460753346,11.187,1.0
93.08,7.9595699349504,11.187,1.0
93.09,7.958594732962199,11.187,1.0
93.10000000000001,7.95740328,11.187,1.0
93.11,7.9559799719178,11.187,1.0
93.12,7.9543107511296,11.187,1.0
93.13,7.952383067945399,11.187,1.0
93.14,7.950185841907199,11.187,1.0
93.15,7.947709423125,11.187,1.0
93.16,7.9449455536128,11.187,1.0
93.17,7.9418873286246,11.187,1.0
93.18,7.938529157990399,11.187,1.0
93.19,7.9348667274522,11.187,1.0
93.2,7.93089696,11.187,1.0
93.21000000000001,7.9266179772078,11.187,1.0
93.22,7.9220290605696,11.187,1.0
93.23,7.9171306128354,11.187,1.0
93.24,7.9119241193472,11.187,1.0
93.25,7.906412109375,11.187,1.0
93.26,7.9005981174528,11.187,1.0
93.27,7.8944866447146005,11.187,1.0
93.28,7.8880831202304,11.187,1.0
93.29,7.8813938623421995,11.187,1.0
93.3,7.8744260399999995,11.187,1.0
93.31,7.8671876340977995,11.187,1.0
93.32000000000001,7.8596873988096,11.187,1.0
93.33,7.8519348229254,11.187,1.0
93.34,7.8439400911872,11.187,1.0
93.35000000000001,7.835714045625,11.187,1.0
93.36,7.827268146892799,11.187,1.0
93.37,7.8186144356046,11.187,1.0
93.38,7.8097654936704,11.187,1.0
93.39,7.8007344056322,11.187,1.0
93.4,7.79153472,11.187,1.0
93.41,7.7821804105878,11.187,1.0
93.42,7.7726858378496,11.187,1.0
93.43,7.7630657102153995,11.187,1.0
93.44,7.7533350454272005,11.187,1.0
93.45,7.743509131875,11.187,1.0
93.46000000000001,7.733603489932801,11.187,1.0
93.47,7.7236338332946,11.187,1.0
93.48,7.7136160303104,11.187,1.0
93.49,7.7035660653222005,11.187,1.0
93.5,7.6935,11.187,1.0
93.51,7.6834339346778,11.187,1.0
93.52,7.6733839696896,11.187,1.0
93.53,7.6633661667054005,11.187,1.0
93.54,7.6533965100672,11.187,1.0
93.55,7.643490868125001,11.187,1.0
93.56,7.6336649545728,11.187,1.0
93.57000000000001,7.6239342897846,11.187,1.0
93.58,7.614314162150402,11.187,1.0
93.59,7.604819589412201,11.187,1.0
93.60000000000001,7.59546528,11.187,1.0
93.61,7.586265594367801,11.187,1.0
93.62,7.5772345063296,11.187,1.0
93.63,7.568385564395401,11.187,1.0
93.64,7.5597318531072,11.187,1.0
93.65,7.551285954375,11.187,1.0
93.66,7.5430599088128005,11.187,1.0
93.67,7.5350651770746,11.187,1.0
93.68,7.527312601190401,11.187,1.0
93.69,7.5198123659022,11.187,1.0
93.7,7.51257396,11.187,1.0
93.71000000000001,7.5056061376578,11.187,1.0
